date,access1-0.1.rcp85,access1-3.1.rcp85,bcc-csm1-1.1.rcp85,bcc-csm1-1-m.1.rcp85,canesm2.1.rcp85,canesm2.2.rcp85,canesm2.3.rcp85,canesm2.4.rcp85,canesm2.5.rcp85,ccsm4.1.rcp85,ccsm4.2.rcp85,ccsm4.3.rcp85,ccsm4.4.rcp85,ccsm4.5.rcp85,cesm1-bgc.1.rcp85,cesm1-cam5.1.rcp85,cesm1-cam5.2.rcp85,cesm1-cam5.3.rcp85,cmcc-cm.1.rcp85,cnrm-cm5.1.rcp85,cnrm-cm5.2.rcp85,cnrm-cm5.4.rcp85,cnrm-cm5.6.rcp85,cnrm-cm5.10.rcp85,csiro-mk3-6-0.1.rcp85,csiro-mk3-6-0.2.rcp85,csiro-mk3-6-0.3.rcp85,csiro-mk3-6-0.4.rcp85,csiro-mk3-6-0.5.rcp85,csiro-mk3-6-0.6.rcp85,csiro-mk3-6-0.7.rcp85,csiro-mk3-6-0.8.rcp85,csiro-mk3-6-0.9.rcp85,csiro-mk3-6-0.10.rcp85,ec-earth.6.rcp85,ec-earth.8.rcp85,ec-earth.12.rcp85,fgoals-g2.1.rcp85,fgoals-s2.2.rcp85,fgoals-s2.3.rcp85,fio-esm.1.rcp85,fio-esm.2.rcp85,fio-esm.3.rcp85,gfdl-cm3.1.rcp85,gfdl-esm2g.1.rcp85,gfdl-esm2m.1.rcp85,giss-e2-r.1.rcp85,hadgem2-ao.1.rcp85,hadgem2-cc.1.rcp85,hadgem2-es.1.rcp85,hadgem2-es.2.rcp85,hadgem2-es.3.rcp85,hadgem2-es.4.rcp85,inmcm4.1.rcp85,ipsl-cm5a-lr.1.rcp85,ipsl-cm5a-lr.2.rcp85,ipsl-cm5a-lr.3.rcp85,ipsl-cm5a-lr.4.rcp85,ipsl-cm5a-mr.1.rcp85,ipsl-cm5b-lr.1.rcp85,miroc-esm.1.rcp85,miroc-esm-chem.1.rcp85,miroc5.1.rcp85,mpi-esm-lr.1.rcp85,mpi-esm-lr.2.rcp85,mpi-esm-lr.3.rcp85,mpi-esm-mr.1.rcp85,mri-cgcm3.1.rcp85,noresm1-m.1.rcp85,noresm1-me.1.rcp85
1977-06-01,0.002,0.028,0.009,0.188,0.270,0.240,0.128,0.006,0.086,0.000,0.041,0.066,0.015,0.148,0.047,0.054,0.163,0.015,0.000,0.024,0.001,0.041,0.209,0.099,0.012,0.006,0.001,0.189,0.006,0.014,0.000,0.000,0.002,0.000,0.257,0.073,0.050,0.002,0.006,0.000,0.113,0.213,0.256,0.015,0.000,0.091,0.001,0.012,0.018,0.132,0.000,0.002,0.032,0.077,0.001,0.039,0.011,0.001,0.007,0.022,0.044,0.044,0.040,0.058,0.018,0.056,0.000,0.005,0.102,0.007
1977-07-01,0.012,0.000,0.001,0.006,0.013,0.006,0.061,0.004,0.001,0.000,0.000,0.010,0.001,0.000,0.071,0.001,0.010,0.002,0.001,0.000,0.005,0.000,0.005,0.001,0.002,0.000,0.000,0.007,0.000,0.083,0.001,0.001,0.010,0.023,0.001,0.012,0.001,0.000,0.006,0.000,0.001,0.007,0.001,0.033,0.012,0.000,0.001,0.000,0.000,0.011,0.009,0.009,0.000,0.000,0.001,0.000,0.001,0.001,0.004,0.002,0.000,0.000,0.002,0.000,0.016,0.012,0.001,0.000,0.001,0.028
1977-08-01,0.015,0.005,0.000,0.002,0.016,0.000,0.006,0.000,0.081,0.002,0.005,0.002,0.377,0.011,0.007,0.088,0.006,0.000,0.032,0.001,0.004,0.000,0.339,0.000,0.002,0.001,0.000,0.001,0.001,0.006,0.000,0.000,0.000,0.006,0.001,0.000,0.040,0.001,0.001,0.000,0.011,0.001,0.001,0.000,0.002,0.001,0.002,0.000,0.002,0.006,0.000,0.000,0.000,0.001,0.002,0.000,0.106,0.160,0.007,0.000,0.005,0.004,0.000,0.009,0.002,0.000,0.009,0.005,0.150,0.004
1977-09-01,0.107,0.022,0.000,0.002,0.081,0.021,0.529,0.058,0.019,0.024,0.606,0.247,0.237,0.048,0.017,0.011,0.008,0.004,0.371,0.001,0.008,0.004,0.004,0.361,0.020,0.021,0.106,0.426,0.002,0.001,0.004,0.001,0.008,0.000,0.094,0.012,0.077,0.104,0.182,0.044,0.074,0.004,0.007,0.069,0.000,0.001,0.002,0.004,0.847,0.020,0.907,0.005,0.278,0.000,0.072,1.024,0.000,0.001,0.002,0.079,0.092,1.297,0.001,0.001,0.741,1.852,0.109,0.000,0.231,0.177
1977-10-01,0.068,0.204,0.001,0.040,0.971,1.131,0.220,0.536,0.013,1.884,0.887,0.952,3.239,1.889,1.749,0.076,0.175,0.002,0.033,0.009,0.247,1.931,0.237,0.969,1.375,1.687,0.135,1.217,0.790,1.519,0.035,0.081,0.220,1.061,0.399,1.272,0.001,0.168,0.527,1.199,0.356,0.395,0.018,1.690,0.087,2.138,2.148,0.542,0.004,1.970,0.103,1.903,3.666,1.067,0.511,1.411,0.547,0.049,0.183,0.286,3.232,1.473,1.732,0.605,1.018,0.093,0.204,0.467,1.662,0.021
1977-11-01,0.543,6.569,0.485,0.220,4.961,2.799,0.210,3.217,3.550,4.586,3.124,0.321,2.687,2.036,2.225,0.206,1.323,0.022,1.441,3.087,0.022,0.712,0.972,0.302,0.977,2.936,4.429,0.487,5.556,0.365,1.226,4.744,1.685,4.273,0.004,1.955,1.382,6.161,1.385,0.307,6.569,4.935,0.983,0.527,6.569,3.371,0.206,1.495,0.000,4.998,1.557,1.202,4.976,0.291,2.050,1.610,0.067,1.748,1.906,2.086,6.211,1.170,0.384,0.381,1.146,6.078,3.810,1.322,0.019,0.089
1977-12-01,0.243,16.202,4.301,2.694,0.658,0.568,0.913,9.658,2.287,3.309,4.075,6.600,1.621,2.648,2.428,3.967,2.190,2.124,5.949,2.108,3.254,2.819,2.072,17.007,5.319,1.878,0.255,3.709,4.604,1.720,8.563,2.667,6.874,3.189,5.053,4.578,4.093,6.626,7.180,3.605,4.998,15.856,7.408,3.177,2.811,1.273,1.122,1.544,3.217,2.668,0.830,2.601,0.870,0.509,0.945,8.569,7.525,7.729,6.455,8.028,9.263,5.012,6.232,1.003,7.204,0.082,0.373,4.441,7.285,0.465
1978-01-01,8.414,9.932,1.017,0.277,3.999,0.825,0.361,9.252,9.820,3.785,4.375,11.986,7.728,13.296,9.332,6.738,3.245,4.319,1.651,3.155,7.035,2.933,9.888,7.840,12.296,1.689,3.736,3.953,10.114,4.403,3.753,1.590,8.191,2.269,3.788,4.057,5.950,10.778,6.586,1.950,7.467,6.475,3.737,2.928,7.287,10.048,6.753,4.508,11.593,2.147,3.534,6.641,0.420,7.749,3.663,4.755,4.643,4.032,3.397,7.119,4.853,12.787,3.159,8.884,5.315,3.716,3.708,11.887,13.296,3.757
1978-02-01,0.578,6.982,2.319,2.835,1.421,1.845,3.254,2.320,5.534,7.097,4.990,6.432,8.052,16.779,8.363,7.825,9.352,1.526,9.893,1.015,4.864,7.854,2.322,1.820,2.097,2.207,4.211,1.117,4.771,9.215,4.473,1.313,11.155,3.739,7.793,10.061,3.956,11.182,9.505,7.246,0.556,0.557,6.901,0.702,0.564,3.210,1.796,0.391,1.224,3.146,0.543,1.085,7.491,5.723,8.037,0.816,1.973,9.298,2.098,1.921,2.057,2.111,2.151,8.602,7.988,9.847,5.720,6.648,4.863,3.254
1978-03-01,4.226,3.976,7.883,1.954,1.552,2.436,5.575,3.234,0.070,1.677,4.012,1.867,6.039,6.996,9.323,8.775,9.409,4.325,1.285,1.363,6.440,5.028,3.298,1.606,0.341,2.182,2.709,1.216,2.825,0.703,2.784,3.223,1.656,5.540,0.516,5.560,5.088,4.375,7.170,0.070,1.725,2.612,2.100,0.603,1.634,2.338,1.100,5.892,2.185,9.272,5.637,0.231,3.974,6.022,0.301,1.279,1.728,5.534,0.265,4.233,1.756,1.591,2.069,1.524,3.598,1.880,0.138,1.887,1.222,1.396
1978-04-01,3.827,3.269,1.202,1.877,0.607,4.866,1.263,2.087,1.113,0.559,2.209,3.513,0.194,2.185,2.039,2.047,1.955,0.633,1.772,0.582,1.920,2.380,0.888,0.433,0.888,1.010,2.314,0.229,0.249,0.193,1.174,4.850,0.410,0.788,0.836,0.637,5.934,2.315,0.139,1.665,0.361,5.597,2.250,4.753,0.194,1.564,0.693,2.215,0.915,0.424,1.196,1.128,0.194,5.021,0.625,5.285,2.289,1.932,0.389,0.922,5.960,5.067,2.555,0.920,1.843,2.288,0.556,0.175,1.904,0.347
1978-05-01,1.188,0.012,0.001,0.327,0.214,0.018,0.031,0.016,0.309,0.395,0.308,0.032,2.746,0.248,0.220,0.044,0.074,0.929,0.369,0.403,0.093,0.846,0.032,0.424,0.139,0.011,0.016,0.010,0.016,0.060,0.024,0.160,0.073,0.260,0.513,0.103,0.096,0.221,0.005,0.553,0.024,0.254,0.871,0.002,0.018,0.068,0.953,0.615,0.237,0.272,0.023,0.843,0.527,0.498,0.277,1.087,0.832,1.756,0.464,0.207,0.045,0.089,0.037,0.266,0.499,0.430,0.061,0.586,1.279,0.103
1978-06-01,0.001,0.004,0.000,0.043,0.019,0.000,0.000,0.065,0.048,0.006,0.013,0.311,0.019,0.111,0.028,0.014,0.009,0.046,0.113,0.001,0.012,0.002,0.014,0.019,0.005,0.001,0.004,0.007,0.002,0.000,0.000,0.085,0.000,0.249,0.005,0.165,0.002,0.008,0.077,0.008,0.002,0.014,0.027,0.067,0.012,0.046,0.001,0.032,0.006,0.032,0.028,0.004,0.021,0.124,0.050,0.002,0.104,0.033,0.035,0.060,0.080,0.033,0.015,0.000,0.019,0.086,0.001,0.311,0.286,0.005
1978-07-01,0.000,0.018,0.005,0.017,0.016,0.000,0.000,0.002,0.000,0.000,0.004,0.195,0.005,0.010,0.059,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.001,0.006,0.013,0.007,0.000,0.009,0.115,0.006,0.001,0.006,0.004,0.000,0.001,0.011,0.002,0.004,0.000,0.007,0.002,0.000,0.005,0.001,0.001,0.000,0.009,0.000,0.002,0.001,0.082,0.005,0.000,0.004,0.000,0.000,0.001,0.006,0.006,0.154,0.002,0.204,0.126,0.000,0.015,0.009,0.001
1978-08-01,0.006,0.005,0.001,0.005,0.419,0.004,0.198,0.004,0.009,0.002,0.001,0.004,0.005,0.055,0.001,0.007,0.004,0.002,0.161,0.425,0.001,0.005,0.000,0.074,0.021,0.000,0.005,0.005,0.001,0.006,0.127,0.090,0.000,0.106,0.000,0.000,0.033,0.022,0.002,0.071,0.001,0.000,0.006,0.034,0.115,0.001,0.013,0.001,0.139,0.001,0.001,0.005,0.377,0.007,0.001,0.002,0.009,0.001,0.101,0.006,0.051,0.000,0.000,0.000,0.002,0.000,0.009,0.000,0.001,0.004
1978-09-01,0.482,0.004,0.009,0.078,0.024,0.004,0.096,0.086,0.000,0.178,0.041,0.214,0.002,0.002,0.047,0.015,0.002,0.037,0.267,0.272,0.000,0.090,0.000,0.015,0.002,0.032,0.161,0.008,0.002,0.022,0.115,0.058,0.000,0.726,0.061,0.011,0.012,0.235,0.972,0.031,0.563,0.060,0.213,0.053,0.058,0.058,0.563,0.015,0.181,0.193,0.028,0.181,0.024,0.002,0.025,0.020,0.105,0.059,0.119,0.670,0.221,0.098,0.034,0.002,1.633,0.001,0.083,0.025,0.070,0.013
1978-10-01,2.011,0.171,1.236,0.211,0.909,0.215,0.561,0.007,0.146,0.424,0.279,1.479,0.171,1.407,0.039,1.695,0.397,1.598,1.033,0.001,3.343,2.094,1.790,0.004,1.502,0.301,0.176,0.990,1.433,1.637,1.228,0.157,0.004,0.002,0.149,0.470,0.101,0.040,1.673,0.079,1.292,0.040,1.375,0.065,0.066,0.824,0.062,0.438,1.379,2.097,2.107,0.165,0.017,1.280,0.015,0.196,0.004,0.082,2.011,0.164,0.824,0.061,1.577,0.118,1.086,0.160,0.404,2.304,0.106,2.470
